Name,Brand,Latitude,Longitude
Petro-Canada,Petro-Canada,43.8574743,-79.4102381
Esso,Esso,43.8572598,-79.4116318
Esso,Esso,43.7527866,-79.624369
Shell,Shell,43.7975432,-79.2832682
Mobil,Mobil,43.5258549,-79.864946
Petro-Canada,Petro-Canada,43.6941327,-79.5581128
Esso,Esso,43.4383,-79.7435625
Arco,Arco,34.0341814,-117.5752466
Chevron,Chevron,34.0328191,-117.575212
Esso,Esso,43.8118118,-79.3604679
Unknown,Unknown,44.5221064,-80.3030418
Canadian Tire,Canadian Tire,44.5031856,-80.2356457
Unknown,Unknown,45.3655902,-78.9282193
Unknown,W.O. Stinson,45.5035242,-78.2507966
Unknown,MacEwen,45.4937065,-78.2390288
Petro-Canada,Petro-Canada,43.793074,-79.4452699
Petro-Canada,Petro-Canada,43.3453165,-80.3152678
Unknown,Unknown,44.7216738,-78.3265331
Esso,Esso,43.8433365,-79.3042314
Esso,Esso,43.4580164,-79.6821094
Husky,Husky,48.5938443,-85.2779475
Speedy Gas,Unknown,43.6906378,-79.7551452
Esso,Esso,46.3822077,-82.6406407
Petro-Canada,Petro-Canada,43.8159926,-79.424627
Shell,Shell,43.5500165,-79.6161993
Unknown,Unknown,43.0347148,-81.2539729
Unknown,Unknown,43.0352637,-81.2544664
Husky,Husky,43.7336453,-79.7080167
Shell,Shell,43.5707291,-79.6605983
7-Eleven,7-Eleven,43.549168,-79.7515025
Shell,Shell,43.8340197,-79.5216122
Petro-Canada,Petro-Canada,43.8328935,-79.5223578
Esso,Esso,43.6770103,-79.7474452
Petro-Canada,Petro-Canada,43.133977,-80.2596751
Petro-Canada,Petro-Canada,45.0476126,-74.769766
Husky,Husky,43.904628,-78.9200272
Petro-Canada,Petro-Canada,43.9036486,-78.9207849
Petro-Canada,Petro-Canada,43.89745,-79.2389396
Esso,Esso,43.392142,-79.7529977
Petro-Canada,Petro-Canada,43.3920874,-79.7512994
Esso,Esso,43.8951858,-79.2920151
Petro-Canada,Petro-Canada,43.9031891,-79.2925405
Esso,Esso,43.9570561,-79.4848533
Unknown,Unknown,44.4296001,-76.8072392
Esso,Esso,43.4413469,-79.6933751
Petro-Canada,Petro-Canada,43.4065809,-79.8087808
Shell,Shell,43.4057746,-79.8078469
Petro-Canada,Petro-Canada,43.7874726,-79.4707546
Mobil,Mobil,34.0187781,-117.592549
Valero,Valero,34.0195152,-117.592866
7-Eleven,7-Eleven,34.0477327,-117.576581
Valero,Valero,34.0795474,-117.628926
Arco,Arco,34.0782874,-117.628952
Petro-Canada,Petro-Canada,43.7828431,-79.2886816
Shell,Shell,43.7724725,-79.6265082
Petro-Canada,Petro-Canada,43.609839,-79.621648
Petro-Canada,Petro-Canada,45.3537179,-75.6420403
Petro-Canada,Petro-Canada,43.8447868,-79.4694728
Ultramar,Ultramar,43.8367586,-79.5086949
Petro-Canada,Petro-Canada,43.6968659,-79.3721948
Esso,Esso,49.2735161,-81.6204572
Esso,Esso,43.8683875,-79.3622549
Petro-Canada,Petro-Canada,43.5192045,-79.6403368
Pioneer,Pioneer,43.5315607,-79.607892
Canadian Tire,Canadian Tire,43.0080568,-81.336229
Petro-Canada,Petro-Canada,43.5890754,-79.5929851
MacEwen,MacEwen,44.2818737,-78.3431971
Petro-Canada,Petro-Canada,43.6218572,-79.7676319
Petro-Canada,Petro-Canada,43.6366918,-79.715853
Esso,Esso,43.5171281,-79.6237707
Shell,Shell,43.0064796,-81.2399222
MacEwen,MacEwen,45.3144453,-77.3782416
CAN-OP,Unknown,50.3023832,-89.0389037
Maple Leaf Country Store,Unknown,45.264428,-77.8353392
Petro-Canada,Petro-Canada,43.8477272,-79.0733088
Canadian Tire,Canadian Tire,43.843451,-79.0716161
Petro-Canada,Petro-Canada,43.8431236,-79.0727111
Petro-Canada,Petro-Canada,45.7324308,-82.1675056
Paul's Corner Store,Esso,45.8276714,-82.1607218
Canadian Tire,Canadian Tire,46.1000805,-77.4999352
Crevier,Crevièr,46.2133294,-77.8966827
Petro-Canada,Petro-Canada,43.596862,-79.7120515
Petro-Canada,Petro-Canada,43.5793563,-79.6524514
Esso,Esso,43.5795682,-79.6507693
Amco,Unknown,43.5972736,-79.7343941
Petro-Canada,Petro-Canada,43.5860994,-79.7431155
7-Eleven,7-Eleven,43.5853652,-79.7415179
Esso,Esso,43.6364526,-79.7178169
Petro-Canada,Petro-Canada,43.65388,-79.599977
Budget Propane,Unknown,44.8643079,-79.3242456
Petro-Canada,Petro-Canada,43.802992,-79.448763
Esso,Esso,43.8074973,-79.4221016
Shell,Shell,43.7346502,-79.4201669
Pioneer,Unknown,43.7897982,-79.1950258
Petro-Canada,Petro-Canada,43.4084752,-80.3277375
Shell,Shell,43.8518298,-79.0222133
Costco Gasoline,Costco Gasoline,43.8635194,-79.0178258
Petro-Canada,Petro-Canada,43.8822522,-78.9326975
Shell,Shell,43.8937745,-78.8832344
Esso,Esso,43.895005,-78.873842
Petro-Canada,Petro-Canada,43.8697634,-78.9851781
Shell,Shell,43.5551057,-79.6460467
Shell,Shell,43.601613,-79.5003951
Canadian Tire,Canadian Tire,43.5150233,-79.6359703
Petro-Canada,Petro-Canada,43.5354456,-79.6685081
mi Fuel,Unknown,43.5411139,-79.6730383
Esso,Esso,43.6640179,-79.6583713
Mobil,Mobil,43.669264,-79.483129
Petro-Canada,Petro-Canada,43.4776244,-80.5201433
Shell,Shell,43.3873218,-79.7802797
Pioneer,Pioneer,43.3873631,-79.7819933
Petro-Canada,Petro-Canada,43.4627302,-80.5064693
Shell,Shell,43.3847307,-79.7353319
Canadian Tire,Canadian Tire,43.4844797,-80.5244981
Esso,Esso,44.2584127,-76.51851
Esso,Esso,44.0847208,-79.4361202
Canadian Tire,Canadian Tire,43.13412,-79.2184298
Canadian Tire,Canadian Tire,43.6526025,-79.6429894
Esso,Esso,43.8852841,-79.4399183
Petro-Canada,Petro-Canada,43.7362557,-79.7798003
Shell,Shell,43.3720225,-79.7949362
Canadian Tire,Canadian Tire,43.6499737,-79.8888423
Esso,Esso,43.6493392,-79.8785886
Husky,Husky,43.6502041,-79.8945268
XTR,XTR,43.63645,-79.9321702
Cango,Unknown,43.6728064,-79.9815751
Esso,Esso,43.8388396,-79.5093923
Esso,Esso,43.2626569,-79.8881499
Foxton Fuels,Unknown,43.7249808,-80.9376134
Darshan Gas Bar,Unknown,43.4578859,-80.4851346
Pioneer,Pioneer,43.3769525,-79.7675301
Husky,Husky,44.0681055,-79.4843701
Petro-Canada,Petro-Canada,43.3712693,-79.7956463
